"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"ocp_p_select_language","Integer","","Recommended","","Espanol","0 ; 1","0 = No; 1 = Yes","occupation_p_select_language"
"ocp_prnt_work_na_p","Integer","","Recommended","","For whom did you work? / Para quien trabajas","0;1","0=Not Applicable/Participant has NEVER had a job","occupation_prnt_work_na_p"
"ocp_prnt_acs_buisness_txt_p","String","250","Recommended","ocp_prnt_work_na_p(0) != 1","What kind of business or industry is this? / ¿Qué tipo de negocio o industria es esta?","","","occupation_prnt_acs_buisness_txt_p"
"ocp_prnt_acs_indust_code_p","Integer","","Recommended","ocp_prnt_work_na_p(0) != 1","Based on parent's response above","1::13;777;999","choose the category from Codes for Job Industry list. 1=Agriculture, forestry, fishing, and hunting; 2=Mining, quarrying, and oil and gas extraction; 3=Construction; 4=Manufacturing; 5=Wholesale and retail trade; 6=Transportation and utilities; 7=Information; 8=Financial Activities; 9=Professional and business services; 10=Education and health services; 11=Leisure and hospitality; 12=Other services; 13=Public administration; 777=Refuse to answer; 999=Don't know","occupation_prnt_acs_indust_code_p"
"ocp_prnt_acs_ocp_txt_p","String","250","Recommended","ocp_prnt_work_na_p(0) != 1","What kind of work were you doing?","","","occupation_prnt_acs_occupation_txt_p,occupation_prnt_acs_ocp_txt_p"
"ocp_prnt_acs_ocp_code_p","Integer","","Recommended","ocp_prnt_work_na_p(0) != 1","Based on parent's response above, choose the Occupation from Codes for Job Title/Occupation list.","1::23","1=Management occupations; 2=Business and Financial Operations Occupations; 3=Computer and Mathematical Occupations; 4=Architecture and Engineering Occupations; 5=Life, Physical, and Social Science Occupations; 6=Community and Social Service Occupations; 23=Legal Occupations; 7=Education, Training, and Library Occupations; 8=Arts, Design, Entertainment, Sports, and Media Occupations; 9=Healthcare Practitioners and Technical Occupations; 10=Healthcare Support Occupations; 11=Protective Service Occupations; 12=Food Preparation and Serving Related Occupations; 13=Building and Grounds Cleaning and Maintenance; 14=Personal Care and Service Occupations; 15=Sales and Related Occupations; 16=Office and Administrative Support Occupations; 17=Farming, Fishing, and Forestry Occupations; 18=Construction and Extraction Occupations; 19=Installation, Maintenance, and Repair Occupations; 20=Production Occupations; 21=Transportation and Material Moving Occupations; 22=Military Specific Occupations","occupation_prnt_acs_occupation_code_p,occupation_prnt_acs_ocp_code_p"
"ocp_prnt_acs_job_cat_1_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 1","Please specify the Management Occupations Job Title","11100; 11200;11300;11900","11100=Top executives (11100); 11200=Advertising, Marketing, Promotions, Public Relations, and Sales Managers (11200); 11300=Operations Specialties Managers (11300); 11900=Other Management Occupations (11900)","occupation_prnt_acs_job_cat_1_p"
"ocp_prnt_acs_job_cat_2_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 16","Please specify the Business and Financial Operations Occupations Job Title:","13100;13200","13100=Business Operations Specialists; 13200=Financial Specialists","occupation_prnt_acs_job_cat_2_p"
"ocp_prnt_acs_job_cat_3_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 3","Please specify the Computer and Mathematical Occupations Job Title:","15110;15200","15110=Computer Occupations; 15200=Mathematical Science Occupations","occupation_prnt_acs_job_cat_3_p"
"ocp_prnt_acs_job_cat_4_p","Integer","","Recommended","ocp_prtnr_p==1 &&  ocp_prtnr_work_na_p(0)!=1","Please specify the Architecture and Engineering Occupations Job Title:","17100;17200;17300","17100=Architects, Surveyors, and Catographers; 17200=Engineers; 17300=Drafters, Engineering Technicians, Except Drafters","occupation_prnt_acs_job_cat_4_p"
"ocp_prnt_acs_job_cat_5_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 5","Please specify the Life, Physical, and Social Science  Occupations Job Title:","19100;19200;19300;19400","19100=Life Scientists; 19200=Physical Scientists; 19300=Social Scientists and Related Workers; 19400=Life, Physical, and Social Science Technicians","occupation_prnt_acs_job_cat_5_p"
"ocp_prnt_acs_job_cat_6_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 8","Please specify the Social Service Occupations Job Title:","21100;21200","21100=Counselors, Social Workers, and Other Community and Social Service Specialists; 21200=Religious Workers","occupation_prnt_acs_job_cat_6_p"
"ocp_prnt_acs_job_cat_7_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 7","Please specify the Education, Training, and Library  Occupations Job Title:","25100;25200;25300;25400;25900","25100=Postsecondary Teachers; 25200=Preschool, Primary, Secondary, and Special Education School Teachers; 25300=Other Teachers and Instructors; 25400=Librarians, Curators, and Archivists; 25900=Other Education, Training, and Library Occupations","occupation_prnt_acs_job_cat_7_p"
"ocp_prnt_acs_job_cat_8_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 11","Please specify the Arts, Design, Entertainment, Sports, and Media Occupations Job Title:","27100;27200;27300;27400","27100=Art and Design Workers; 27200=Entertainers and Performers, Sports and Related Workers; 27300=Media and Communication Workers; 27400=Media and Communication Equipment Workers","occupation_prnt_acs_job_cat_8_p"
"ocp_prnt_acs_job_cat_9_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 9","Please specify the Healthcare Practitioners and Technical Occupations Job Title:","29100;29200;29900","29100=Health Diagnosing and Treating Practitioners; 29200=Health Technologists and Technicians; 29900=Other Healthcare Practitioners and Technical Occupations","occupation_prnt_acs_job_cat_9_p"
"ocp_prnt_acs_job_cat_10_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 10","Please specify the Healthcare Support occupation Occupations Job Title:","31100;31200;31900","31100=Nursing, Psychiatric, and Home Health Aides; 31200=Occupational Therapy and Physical Therapist Assistants and Aides; 31900=Other Healthcare Support Occupations","occupation_prnt_acs_job_cat_10_p"
"ocp_prnt_acs_job_cat_11_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 11","Please specify the Protective Service  Occupations Job Title:","33100;33200;33300;33900","33100=Supervisors of Protective Service Workers; 33200=Fire Fighting and Prevention Workers; 33300=Law Enforcement Workers; 33900=Other Protective Service Workers (33900)","occupation_prnt_acs_job_cat_11_p"
"ocp_prnt_acs_job_cat_12_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 12","Please specify the Food Preparation and Serving Related Occupations Job Title:","35100;35200;35300;35900","35100=Supervisors of Food Preparation and Serving Workers; 35200=Cooks and Food Preparation Workers; 35300=Food and Beverage Serving Workers (35300); 35900=Other Food Preparation and Serving Related Workers","occupation_prnt_acs_job_cat_12_p"
