"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"socialdev_cfbc_01","Integer","","Recommended","socialdev_visit_01 == 1","The staff was helpful and nice.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_02","Integer","","Recommended","socialdev_visit_01 == 1","The staff told me about the study before we started.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_03","Integer","","Recommended","socialdev_visit_01 == 1","When I filled out the questionnaire  I could ask a staff member to help me.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_04","Integer","","Recommended","socialdev_visit_01 == 1","I understood all the questions.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_05","Integer","","Recommended","socialdev_visit_01 == 1","There were many difficult words.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_06","Integer","","Recommended","socialdev_visit_01 == 1","We had to wait for a long time before we got started.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_07","Integer","","Recommended","socialdev_visit_01 == 1","Some of the questions made me uncomfortable.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_08","Integer","","Recommended","socialdev_visit_01 == 1","I felt comfortable in the interview room.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_09","Integer","","Recommended","socialdev_visit_01 == 1","I felt comfortable with the staff person interviewing me.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_10","Integer","","Recommended","socialdev_visit_01 == 1","I would recommend this study to friends and family.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_11","Integer","","Recommended","socialdev_visit_01 == 1","I think this study took too long.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_12","Integer","","Recommended","socialdev_visit_01 == 1","The day was difficult because I did 2 studies.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_13","Integer","","Recommended","socialdev_visit_01 == 1","I prefer to do the 2 studies on different days.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_14","Integer","","Recommended","socialdev_visit_01 == 1","I think the $40 I received was a good compensation for my time.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbc_15","Integer","","Recommended","socialdev_visit_01 == 1","I would participate in this study or similar studies again.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_01","Integer","","Recommended","socialdev_visit_01 == 2","The staff was helpful and nice.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_02","Integer","","Recommended","socialdev_visit_01 == 2","The staff told me about the study before we started.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_03","Integer","","Recommended","socialdev_visit_01 == 2","When I filled out the questionnaire  I could ask a staff member to help me.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_04","Integer","","Recommended","socialdev_visit_01 == 2","I understood all the questions.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_05","Integer","","Recommended","socialdev_visit_01 == 2","There were many difficult words.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_06","Integer","","Recommended","socialdev_visit_01 == 2","We had to wait for a long time before we got started.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_07","Integer","","Recommended","socialdev_visit_01 == 2","Some of the questions made me uncomfortable.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_08","Integer","","Recommended","socialdev_visit_01 == 2","I felt comfortable in the interview room.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_09","Integer","","Recommended","socialdev_visit_01 == 2","I felt comfortable with the staff person interviewing me.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_10","Integer","","Recommended","socialdev_visit_01 == 2","I think this study took too long.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_11","Integer","","Recommended","socialdev_visit_01 == 2","I prefer one longer study day  than two shorter.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_12","Integer","","Recommended","socialdev_visit_01 == 2","I think the $40 I received was a good compensation for my time.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_13","Integer","","Recommended","socialdev_visit_01 == 2","I would recommend this study to friends and family.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
"socialdev_cfbi_14","Integer","","Recommended","socialdev_visit_01 == 2","I would participate in this study or similar studies again.","1;0;98","1 = Yes; 0=  No; 98=  I don't know",""
