"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"tfabwdp_977","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI middle frontal gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.front.middle.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gfrontmiddlerh"
"tfabwdp_978","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior frontal gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.front.sup.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gfrontsuprh"
"tfabwdp_979","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_ginslgandscentinsrh"
"tfabwdp_980","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI short insular gyri","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.insular.short.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_ginsularshortrh"
"tfabwdp_981","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI middle occipital gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.occipital.middle.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_goccipitalmiddlerh"
"tfabwdp_982","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior occipital gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.occipital.sup.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_goccipitalsuprh"
"tfabwdp_983","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.oc.temp.lat.fusifor.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_goctemplatfusiforrh"
"tfabwdp_984","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI lingual gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.oc.temp.med.lingual.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_goctempmedlingualrh"
"tfabwdp_985","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI parahippocampal gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.oc.temp.med.parahip.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_goctempmedparahiprh"
"tfabwdp_986","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI orbital gyri","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.orbital.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gorbitalrh"
"tfabwdp_987","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI angular gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.pariet.inf.angular.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gparietinfangularrh"
"tfabwdp_988","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI supramarginal gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.pariet.inf.supramar.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gparietinfsupramarrh"
"tfabwdp_989","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior parietal lobule","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.parietal.sup.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gparietalsuprh"
"tfabwdp_990","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI postcentral gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.postcentral.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gpostcentralrh"
"tfabwdp_991","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI precentral gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.precentral.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gprecentralrh"
"tfabwdp_992","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI precuneus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.precuneus.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gprecuneusrh"
"tfabwdp_993","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI gyrus rectus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.rectus.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_grectusrh"
"tfabwdp_994","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI subcallosal gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.subcallosal.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gsubcallosalrh"
"tfabwdp_995","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI anterior transverse temporal gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.temp.sup.g.t.transv.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gtempsupgttransvrh"
"tfabwdp_996","Float","","Recommended","Mean beta weight for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI lateral aspect of the superior temporal gyrus","","","tfmri_nback_all_emotion.vs.neutface_beta_cort.destrieux_g.temp.sup.lateral.rh,tfmri_nback_all_emotionvsneutface_beta_cortdestrieux_gtempsuplateralrh"
