"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"dmri_rsifni_fib_fxrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right fornix","","","dmri_rsifni_fiberat_fxrh"
"dmri_rsifni_fib_fxlh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left fornix","","","dmri_rsifni_fiberat_fxlh"
"dmri_rsifni_fib_cgcrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right cingulate cingulum","","","dmri_rsifni_fiberat_cgcrh"
"dmri_rsifni_fib_cgclh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left cingulate cingulum","","","dmri_rsifni_fiberat_cgclh"
"dmri_rsifni_fib_cghrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right parahpcm cingulum","","","dmri_rsifni_fiberat_cghrh"
"dmri_rsifni_fib_cghlh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left parahpcm cingulum","","","dmri_rsifni_fiberat_cghlh"
"dmri_rsifni_fib_cstrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right corticospinal/pyramidal","","","dmri_rsifni_fiberat_cstrh"
"dmri_rsifni_fib_cstlh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left corticospinal/pyramidal","","","dmri_rsifni_fiberat_cstlh"
"dmri_rsifni_fib_atrrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right anterior thalamic radiations","","","dmri_rsifni_fiberat_atrrh"
"dmri_rsifni_fib_atrlh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left right anterior thalamic radiations","","","dmri_rsifni_fiberat_atrlh"
"dmri_rsifni_fib_uncrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right uncinate fasciculus","","","dmri_rsifni_fiberat_uncrh"
"dmri_rsifni_fib_unclh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left uncinate","","","dmri_rsifni_fiberat_unclh"
"dmri_rsifni_fib_ilfrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right inferior longitudinal fasciculus","","","dmri_rsifni_fiberat_ilfrh"
"dmri_rsifni_fib_ilflh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left inferior longitudinal fasciculus","","","dmri_rsifni_fiberat_ilflh"
"dmri_rsifni_fib_iforh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right inferior fronto-occipital fasciculus","","","dmri_rsifni_fiberat_iforh"
"dmri_rsifni_fib_ifolh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left inferior fronto-occipital fasciculus","","","dmri_rsifni_fiberat_ifolh"
"dmri_rsifni_fib_fmaj","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation forceps major","","","dmri_rsifni_fiberat_fmaj"
"dmri_rsifni_fib_fmin","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation forceps minor","","","dmri_rsifni_fiberat_fmin"
"dmri_rsifni_fib_cc","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation corpus callosum","","","dmri_rsifni_fiberat_cc"
"dmri_rsifni_fib_slfrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right superior longitudinal fasciculus","","","dmri_rsifni_fiberat_slfrh"
"dmri_rsifni_fib_slflh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left superior longitudinal fasciculus","","","dmri_rsifni_fiberat_slflh"
"dmri_rsifni_fib_tslfrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right temporal superior longitudinal fasiculus","","","dmri_rsifni_fiberat_tslfrh"
"dmri_rsifni_fib_tslflh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left temporal superior longitudinal fasiculus","","","dmri_rsifni_fiberat_tslflh"
"dmri_rsifni_fib_pslfrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right parietal superior longitudinal fasiculus","","","dmri_rsifni_fiberat_pslfrh"
"dmri_rsifni_fib_pslflh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left parietal superior longitudinal fasiculus","","","dmri_rsifni_fiberat_pslflh"
"dmri_rsifni_fib_scsrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right superior corticostriate","","","dmri_rsifni_fiberat_scsrh"
"dmri_rsifni_fib_scslh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left superior corticostriate","","","dmri_rsifni_fiberat_scslh"
"dmri_rsifni_fib_fscsrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right superior corticostriate-frontal cortex only","","","dmri_rsifni_fiberat_fscsrh"
"dmri_rsifni_fib_fscslh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left superior corticostriate-frontal cortex only","","","dmri_rsifni_fiberat_fscslh"
"dmri_rsifni_fib_pscsrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right superior corticostriate-parietal cortex only","","","dmri_rsifni_fiberat_pscsrh"
"dmri_rsifni_fib_pscslh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left superior corticostriate-parietal cortex only","","","dmri_rsifni_fiberat_pscslh"
"dmri_rsifni_fib_sifcrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right striatal inferior frontal cortex","","","dmri_rsifni_fiberat_sifcrh"
"dmri_rsifni_fib_sifclh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left striatal inferior frontal cortex","","","dmri_rsifni_fiberat_sifclh"
"dmri_rsifni_fib_ifsfcrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right inferior frontal superior frontal cortex","","","dmri_rsifni_fiberat_ifsfcrh"
"dmri_rsifni_fib_ifsfclh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left inferior frontal superior frontal cortex","","","dmri_rsifni_fiberat_ifsfclh"
"dmri_rsifni_fib_fxcutrh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation right fornix, excluding fimbria","","","dmri_rsifni_fiberat_fxcutrh"
"dmri_rsifni_fib_fxcutlh","Float","","Recommended","free normalized isotropic diffusion AtlasTrack fiber segmentation left fornix, excluding fimbria","","","dmri_rsifni_fiberat_fxcutlh"
