"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"dmdtifp1_967","Float","","Recommended","Average fractional anisotropy within parcellation of gray matter-white matter contrast associated with cortical ROI left-hemisphere","","","dmri_dti.full.fa.gwc_cort.desikan_mean.lh,dmri_dtifullfagwc_cortdesikan_meanlh"
"dmdtifp1_968","Float","","Recommended","Average fractional anisotropy within parcellation of gray matter-white matter contrast associated with cortical ROI right-hemisphere","","","dmri_dti.full.fa.gwc_cort.desikan_mean.rh,dmri_dtifullfagwc_cortdesikan_meanrh"
"dmdtifp1_969","Float","","Recommended","Average fractional anisotropy within parcellation of gray matter-white matter contrast associated with cortical ROI whole brain","","","dmri_dti.full.fa.gwc_cort.desikan_mean,dmri_dtifullfagwc_cortdesikan_mean"
"dmdtifp1_970","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-banks of superior temporal sulcus","","","dmri_dti.full.md.gwc_cort.desikan_bankssts.lh,dmri_dtifullmdgwc_cortdesikan_banksstslh"
"dmdtifp1_971","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-caudal anterior cingulate","","","dmri_dti.full.md.gwc_cort.desikan_caudalanteriorcingulate.lh,dmri_dtifullmdgwc_cortdesikan_caudalanteriorcingulatelh"
"dmdtifp1_972","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-caudal middle frontal","","","dmri_dti.full.md.gwc_cort.desikan_caudalmiddlefrontal.lh,dmri_dtifullmdgwc_cortdesikan_caudalmiddlefrontallh"
"dmdtifp1_973","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-cuneus","","","dmri_dti.full.md.gwc_cort.desikan_cuneus.lh,dmri_dtifullmdgwc_cortdesikan_cuneuslh"
"dmdtifp1_974","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-entorhinal","","","dmri_dti.full.md.gwc_cort.desikan_entorhinal.lh,dmri_dtifullmdgwc_cortdesikan_entorhinallh"
"dmdtifp1_975","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-fusiform","","","dmri_dti.full.md.gwc_cort.desikan_fusiform.lh,dmri_dtifullmdgwc_cortdesikan_fusiformlh"
"dmdtifp1_976","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-inferior parietal","","","dmri_dti.full.md.gwc_cort.desikan_inferiorparietal.lh,dmri_dtifullmdgwc_cortdesikan_inferiorparietallh"
"dmdtifp1_977","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-inferior temporal","","","dmri_dti.full.md.gwc_cort.desikan_inferiortemporal.lh,dmri_dtifullmdgwc_cortdesikan_inferiortemporallh"
"dmdtifp1_978","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-isthmus cingulate","","","dmri_dti.full.md.gwc_cort.desikan_isthmuscingulate.lh,dmri_dtifullmdgwc_cortdesikan_isthmuscingulatelh"
"dmdtifp1_979","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-lateral occipital","","","dmri_dti.full.md.gwc_cort.desikan_lateraloccipital.lh,dmri_dtifullmdgwc_cortdesikan_lateraloccipitallh"
"dmdtifp1_980","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-lateral orbital frontal","","","dmri_dti.full.md.gwc_cort.desikan_lateralorbitofrontal.lh,dmri_dtifullmdgwc_cortdesikan_lateralorbitofrontallh"
"dmdtifp1_981","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-lingual","","","dmri_dti.full.md.gwc_cort.desikan_lingual.lh,dmri_dtifullmdgwc_cortdesikan_linguallh"
"dmdtifp1_982","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-medial orbito frontal","","","dmri_dti.full.md.gwc_cort.desikan_medialorbitofrontal.lh,dmri_dtifullmdgwc_cortdesikan_medialorbitofrontallh"
"dmdtifp1_983","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-middle temporal","","","dmri_dti.full.md.gwc_cort.desikan_middletemporal.lh,dmri_dtifullmdgwc_cortdesikan_middletemporallh"
"dmdtifp1_984","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-parahippocampal","","","dmri_dti.full.md.gwc_cort.desikan_parahippocampal.lh,dmri_dtifullmdgwc_cortdesikan_parahippocampallh"
"dmdtifp1_985","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-paracentral","","","dmri_dti.full.md.gwc_cort.desikan_paracentral.lh,dmri_dtifullmdgwc_cortdesikan_paracentrallh"
"dmdtifp1_986","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-pars opercularis","","","dmri_dti.full.md.gwc_cort.desikan_parsopercularis.lh,dmri_dtifullmdgwc_cortdesikan_parsopercularislh"
"dmdtifp1_987","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-pars orbitalis","","","dmri_dti.full.md.gwc_cort.desikan_parsorbitalis.lh,dmri_dtifullmdgwc_cortdesikan_parsorbitalislh"
"dmdtifp1_988","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-pars triangularis","","","dmri_dti.full.md.gwc_cort.desikan_parstriangularis.lh,dmri_dtifullmdgwc_cortdesikan_parstriangularislh"
"dmdtifp1_989","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-pericalcarine","","","dmri_dti.full.md.gwc_cort.desikan_pericalcarine.lh,dmri_dtifullmdgwc_cortdesikan_pericalcarinelh"
"dmdtifp1_990","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-post central","","","dmri_dti.full.md.gwc_cort.desikan_postcentral.lh,dmri_dtifullmdgwc_cortdesikan_postcentrallh"
"dmdtifp1_991","Float","","Recommended","Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-post cingulate","","","dmri_dti.full.md.gwc_cort.desikan_posteriorcingulate.lh,dmri_dtifullmdgwc_cortdesikan_posteriorcingulatelh"
