"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"ddtifp_1","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus","","","dmri_dti.full.fa.wm_cort.destrieux_g.and.s.frontomargin.lh,dmri_dtifullfawm_cortdestrieux_gandsfrontomarginlh"
"ddtifp_2","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus","","","dmri_dti.full.fa.wm_cort.destrieux_g.and.s.occipital.inf.lh,dmri_dtifullfawm_cortdestrieux_gandsoccipitalinflh"
"ddtifp_3","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI paracentral lobule and sulcus","","","dmri_dti.full.fa.wm_cort.destrieux_g.and.s.paracentral.lh,dmri_dtifullfawm_cortdestrieux_gandsparacentrallh"
"ddtifp_4","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI subcentral gyrus and sulci","","","dmri_dti.full.fa.wm_cort.destrieux_g.and.s.subcentral.lh,dmri_dtifullfawm_cortdestrieux_gandssubcentrallh"
"ddtifp_5","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci","","","dmri_dti.full.fa.wm_cort.destrieux_g.and.s.transv.frontopol.lh,dmri_dtifullfawm_cortdestrieux_gandstransvfrontopollh"
"ddtifp_6","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus","","","dmri_dti.full.fa.wm_cort.destrieux_g.and.s.cingul.ant.lh,dmri_dtifullfawm_cortdestrieux_gandscingulantlh"
"ddtifp_7","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI middle-anterior part of the cingulate gyrus and sulcus","","","dmri_dti.full.fa.wm_cort.destrieux_g.and.s.cingul.mid.ant.lh,dmri_dtifullfawm_cortdestrieux_gandscingulmidantlh"
"ddtifp_8","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI middle-posterior part of the cingulate gyrus and sulcus","","","dmri_dti.full.fa.wm_cort.destrieux_g.and.s.cingul.mid.post.lh,dmri_dtifullfawm_cortdestrieux_gandscingulmidpostlh"
"ddtifp_9","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI posterior-dorsal part of the cingulate gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.cingul.post.dorsal.lh,dmri_dtifullfawm_cortdestrieux_gcingulpostdorsallh"
"ddtifp_10","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI posterior-ventral part of the cingulate gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.cingul.post.ventral.lh,dmri_dtifullfawm_cortdestrieux_gcingulpostventrallh"
"ddtifp_11","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI cuneus","","","dmri_dti.full.fa.wm_cort.destrieux_g.cuneus.lh,dmri_dtifullfawm_cortdestrieux_gcuneuslh"
"ddtifp_12","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI opercular part of the inferior frontal gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.front.inf.opercular.lh,dmri_dtifullfawm_cortdestrieux_gfrontinfopercularlh"
"ddtifp_13","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.front.inf.orbital.lh,dmri_dtifullfawm_cortdestrieux_gfrontinforbitallh"
"ddtifp_14","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI triangular part of the inferior frontal gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.front.inf.triangul.lh,dmri_dtifullfawm_cortdestrieux_gfrontinftriangullh"
"ddtifp_15","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI middle frontal gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.front.middle.lh,dmri_dtifullfawm_cortdestrieux_gfrontmiddlelh"
"ddtifp_16","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI superior frontal gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.front.sup.lh,dmri_dtifullfawm_cortdestrieux_gfrontsuplh"
"ddtifp_17","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula","","","dmri_dti.full.fa.wm_cort.destrieux_g.ins.lg.and.s.cent.ins.lh,dmri_dtifullfawm_cortdestrieux_ginslgandscentinslh"
"ddtifp_18","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI short insular gyri","","","dmri_dti.full.fa.wm_cort.destrieux_g.insular.short.lh,dmri_dtifullfawm_cortdestrieux_ginsularshortlh"
"ddtifp_19","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI middle occipital gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.occipital.middle.lh,dmri_dtifullfawm_cortdestrieux_goccipitalmiddlelh"
"ddtifp_20","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI superior occipital gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.occipital.sup.lh,dmri_dtifullfawm_cortdestrieux_goccipitalsuplh"
"ddtifp_21","Float","","Recommended","Average fractional anisotropy within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus","","","dmri_dti.full.fa.wm_cort.destrieux_g.oc.temp.lat.fusifor.lh,dmri_dtifullfawm_cortdestrieux_goctemplatfusiforlh"
