"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"macv_q2","Integer","","Recommended","event_name_number = 21","Parents should teach their children that the family always comes first.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q2"
"macv_q3","Integer","","Recommended","event_name_number = 21","Children should be taught that it is their duty to care for their parents when their parents get old.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q3"
"macv_q4","Integer","","Recommended","event_name_number = 21","Children should always do things to make their parents happy.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q4"
"macv_q7","Integer","","Recommended","event_name_number = 21","Family provides a sense of security because they will always be there for you.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q7"
"macv_q8","Integer","","Recommended","event_name_number = 21","If a relative is having a hard time financially, one should help them out if possible.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q8"
"macv_q9","Integer","","Recommended","event_name_number = 21","When it comes to important decisions, the family should ask for advice from close relatives.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q9"
"macv_q12","Integer","","Recommended","event_name_number = 21","It is always important to be united as a family","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q12"
"macv_q13","Integer","","Recommended","event_name_number = 21","A person should share their home with relatives if they need a place to stay","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q13"
"macv_q16","Integer","","Recommended","event_name_number = 21","It is important to have close relationships with aunts/uncles, grandparents, and cousins.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q16"
"macv_q17","Integer","","Recommended","event_name_number = 21","Older kids should take care of and be role models for their younger brothers and sisters.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q17"
"macv_q18","Integer","","Recommended","event_name_number = 21","Children should be taught to always be good because they represent the family.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q18"
"macv_q21","Integer","","Recommended","event_name_number = 21","Holidays and celebrations are important because the whole family comes together.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q21"
"macv_q22","Integer","","Recommended","event_name_number = 21","Parents should be willing to make great sacrifices to make sure their children have a better life.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q22"
"macv_q23","Integer","","Recommended","event_name_number = 21","A person should always think about their family when making important decisions.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q23"
"macv_q26","Integer","","Recommended","event_name_number = 21","It is important for family members to show their love and affection to one another.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q26"
"macv_q27","Integer","","Recommended","event_name_number = 21","It is important to work hard and do one's best because this work reflects on the family.","1::5","1=Not at All; 2=A Little; 3=Somewhat; 4=Very Much; 5=Completely","macvs_q27"
"macv_q20","Integer","","Recommended","","It is important to thank God or Higher Power(s) every day for all one has.","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q24","Integer","","Recommended","","Parents should encourage children to solve their own problems.","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q25","Integer","","Recommended","","It is important to follow the Word of God or Higher Power(s).","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q28","Integer","","Recommended","","Religion should be an important part of one's life.","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q5","Integer","","Recommended","","People should learn how to take care of themselves and not depend on others.","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q6","Integer","","Recommended","","God or Higher Power(s) is first; family is second.","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_comprehend","Integer","","Recommended","","Did youth meet comprehension criteria?","1;0","1= Yes; 0= No   ([event-name] = '3_year_follow_up_y_arm_1' and [sched_delay] = '7') OR ([event-name] = '4_year_follow_up_y_arm_1' AND [sched_delay] = '7')",""
"macv_q1","Integer","","Recommended","","One's belief in God or Higher Power(s) gives inner strength and meaning to life.","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q10","Integer","","Recommended","","The most important thing parents can teach their children is to be independent from others.","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q11","Integer","","Recommended","","Parents should teach their children how to pray.","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q14","Integer","","Recommended","","As children get older their parents should allow them to make their own decisions","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q15","Integer","","Recommended","","If everything is taken away","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_q19","Integer","","Recommended","","When there are problems in life","1::5","1=Not at All ; 2=A Little ; 3=Somewhat ; 4=Very Much ; 5=Completely  ([event-name] = '3_year_follow_up_y_arm_1')",""
"macv_admin","Integer","","Recommended","","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination ([event-name] = '3_year_follow_up_y_arm_1')",""
