"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"socialdev_cpd_001","Integer","","Recommended","I like to be where exciting things happen.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_002","Integer","","Recommended","I usually feel calm when other people are scared.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_003","Integer","","Recommended","I prefer to spend my money right away rather than save it.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_004","Integer","","Recommended","I get bored quickly when there is too little change.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_005","Integer","","Recommended","I have probably skipped school or work more than most other people.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_006","Integer","","Recommended","It's easy for me to charm and seduce others to get what I want from them.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_007","Integer","","Recommended","It's fun to make up stories and try to get people to believe them.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_008","Integer","","Recommended","I have the ability not to feel guilt and regret about things that I think other people would feel guilty about.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_009","Integer","","Recommended","I consider myself a pretty impulsive person.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_010","Integer","","Recommended","I'm better than everyone on almost everything.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_011","Integer","","Recommended","I can make people believe almost anything.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_012","Integer","","Recommended","I think that crying is a sign of weakness  even if no one sees you.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_013","Integer","","Recommended","If I won a lot of money in the lottery I would quit school or work and just do things that are fun.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_014","Integer","","Recommended","I have the ability to con people by using my charm and smile.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_015","Integer","","Recommended","I am good at getting people to believe in me when I make something up.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_016","Integer","","Recommended","I have often been late to work or classes in school.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_017","Integer","","Recommended","When other people have problems  it is often their own fault  therefore  one should not help them.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_018","Integer","","Recommended","It often happens that I talk first and think later.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_019","Integer","","Recommended","I have talents that go far beyond other people's.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_020","Integer","","Recommended","It's easy for me to manipulate people.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_021","Integer","","Recommended","I seldom regret things I do  even if other people feel that they are wrong.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_022","Integer","","Recommended","I like to do things just for the thrill of it.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_023","Integer","","Recommended","It's important to me not to hurt other people's feelings.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_024","Integer","","Recommended","Sometimes I lie for no reason  other than because it's fun.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_025","Integer","","Recommended","To be nervous and worried is a sign of weakness.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_026","Integer","","Recommended","If I get the chance to do something fun  I do it no matter what I had been doing before.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_027","Integer","","Recommended","When someone asks me something  I usually have a quick answer that sounds believable  even if I've just made it up.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_028","Integer","","Recommended","When someone finds out about something thatI've done wrong  I feel more angry than guilty.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_029","Integer","","Recommended","I get bored quickly by doing the same thing over and over.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_030","Integer","","Recommended","The world would be a better place if I were in charge.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_031","Integer","","Recommended","To get people to do what I want  I often find it efficient to con them.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_032","Integer","","Recommended","It often happens that I do things without thinking ahead.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_033","Integer","","Recommended","Pretty often I act charming and nice  even with people I don't like  in order to get what I want.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_034","Integer","","Recommended","It has happened several times that I've borrowed something and then lost it.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
"socialdev_cpd_035","Integer","","Recommended","I often become sad or moved by watching sad things on TV or film.","0::3","0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well",""
