"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"psq_q1_p","Integer","","Recommended","When I am with my child, I use a screen-based device.","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q2_p","Integer","","Recommended","I try to limit how much I use a screen-based device when I am with my child","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q3_p","Integer","","Recommended","Our family often watches a screen during meals","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q4_p","Integer","","Recommended","Family members are allowed to use screen-based devices during meals","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q5_p","Integer","","Recommended","My child falls asleep while using a screen-based device","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q6_p","Integer","","Recommended","A screen-based device is usually playing in the room when my child falls asleep","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q7_p","Integer","","Recommended","My child has access to a mobile screen-based device in bed","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q8_p","Integer","","Recommended","I offer screen time to my child as a reward for good behavior","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q9_p","Integer","","Recommended","I take away screen time from my child as a punishment for bad behavior","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q10_p","Integer","","Recommended","I keep track of my child's screen time during the week","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q11_p","Integer","","Recommended","I keep track of my child's screen time during the weekend","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q12_p","Integer","","Recommended","I limit my child's screen time during the week.","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q13_p","Integer","","Recommended","I limit my child's screen time during the weekend.","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"psq_q14_p","Integer","","Recommended","I encourage my child to do activities other than screen time.","1::4;777","1=Strongly Disagree; 2=Somewhat Disagree; 3=Somewhat Agree; 4=Strongly Agree; 777=Refuse to Answer",""
"stp_1_wkdy_hr_p","Integer","","Recommended",":Watch ''or stream'' TV shows or movies? (such as Hulu, Netflix or Amazon, not including videos on YouTube) weekday: Hour","0::23","0=0  ; 1=1  ; 2=2  ; 3=3  ; 4=4  ; 5=5  ; 6=6  ; 7=7  ; 8=8  ; 9=9  ; 10=10  ; 11=11  ; 12=12  ; 13=13  ; 14=14  ; 15=15  ; 16=16  ; 17=17  ; 18=18  ; 19=19  ; 20=20  ; 21=21  ; 22=22  ; 23=23",""
"stp_1_wkdy_min_p","Integer","","Recommended","Watch ''or stream'' TV shows or movies? (such as Hulu, Netflix or Amazon, not including videos on YouTube) weekday: Minutes","0;15;30;45","0=0; 15=15; 30=30; 45=45",""
"stp_1_wkend_hr_p","Integer","","Recommended","Watch ''or stream'' TV shows or movies? (such as Hulu, Netflix or Amazon, not including videos on YouTube) weekend: hours","0::23","0=0  ; 1=1  ; 2=2  ; 3=3  ; 4=4  ; 5=5  ; 6=6  ; 7=7  ; 8=8  ; 9=9  ; 10=10  ; 11=11  ; 12=12  ; 13=13  ; 14=14  ; 15=15  ; 16=16  ; 17=17  ; 18=18  ; 19=19  ; 20=20  ; 21=21  ; 22=22  ; 23=23",""
"stp_1_wkend_min_p","Integer","","Recommended","Watch ''or stream'' TV shows or movies? (such as Hulu, Netflix or Amazon, not including videos on YouTube) weekend: minutes","0;15;30;45","0=0; 15=15; 30=30; 45=45",""
"stp_2_wkdy_hr_p","Integer","","Recommended","Watch or stream videos or live stream (such as YouTube, Twitch)? weekday: hours","0::23","0=0  ; 1=1  ; 2=2  ; 3=3  ; 4=4  ; 5=5  ; 6=6  ; 7=7  ; 8=8  ; 9=9  ; 10=10  ; 11=11  ; 12=12  ; 13=13  ; 14=14  ; 15=15  ; 16=16  ; 17=17  ; 18=18  ; 19=19  ; 20=20  ; 21=21  ; 22=22  ; 23=23",""
"stp_2_wkdy_min_p","Integer","","Recommended","Watch or stream videos or live stream (such as YouTube, Twitch)? weekday: minutes","0;15;30;45","0=0; 15=15; 30=30; 45=45",""
"stp_2_wkend_hr_p","Integer","","Recommended","Watch or stream videos or live stream (such as YouTube, Twitch)? weekend: hours","0::23","0=0  ; 1=1  ; 2=2  ; 3=3  ; 4=4  ; 5=5  ; 6=6  ; 7=7  ; 8=8  ; 9=9  ; 10=10  ; 11=11  ; 12=12  ; 13=13  ; 14=14  ; 15=15  ; 16=16  ; 17=17  ; 18=18  ; 19=19  ; 20=20  ; 21=21  ; 22=22  ; 23=23",""
"stp_2_wkend_min_p","Integer","","Recommended","Watch or stream videos or live stream (such as YouTube, Twitch)? weekend: minutes","0;15;30;45","0=0; 15=15; 30=30; 45=45",""
"stp_3_wkdy_hr_p","Integer","","Recommended","Play single-player video games on a computer, console, phone or other device (Xbox, Play Station, iPad, AppleTV)? weekday: hours","0::23","0=0  ; 1=1  ; 2=2  ; 3=3  ; 4=4  ; 5=5  ; 6=6  ; 7=7  ; 8=8  ; 9=9  ; 10=10  ; 11=11  ; 12=12  ; 13=13  ; 14=14  ; 15=15  ; 16=16  ; 17=17  ; 18=18  ; 19=19  ; 20=20  ; 21=21  ; 22=22  ; 23=23",""
"stp_3_wkdy_min_p","Integer","","Recommended","Play single-player video games on a computer, console, phone or other device (Xbox, Play Station, iPad, AppleTV)? weekday: minutes","0;15;30;45","0=0; 15=15; 30=30; 45=45",""
