"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"mrirsfd1","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus","","","rsfmri_var_cort.destrieux_g.and.s.frontomargin.lh,rsfmri_var_cortdestrieux_gandsfrontomarginlh"
"mrirsfd2","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus","","","rsfmri_var_cort.destrieux_g.and.s.occipital.inf.lh,rsfmri_var_cortdestrieux_gandsoccipitalinflh"
"mrirsfd3","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI paracentral lobule and sulcus","","","rsfmri_var_cort.destrieux_g.and.s.paracentral.lh,rsfmri_var_cortdestrieux_gandsparacentrallh"
"mrirsfd4","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI subcentral gyrus and sulci","","","rsfmri_var_cort.destrieux_g.and.s.subcentral.lh,rsfmri_var_cortdestrieux_gandssubcentrallh"
"mrirsfd5","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci","","","rsfmri_var_cort.destrieux_g.and.s.transv.frontopol.lh,rsfmri_var_cortdestrieux_gandstransvfrontopollh"
"mrirsfd6","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus","","","rsfmri_var_cort.destrieux_g.and.s.cingul.ant.lh,rsfmri_var_cortdestrieux_gandscingulantlh"
"mrirsfd7","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI middle-anterior part of the cingulate gyrus and sulcus","","","rsfmri_var_cort.destrieux_g.and.s.cingul.mid.ant.lh,rsfmri_var_cortdestrieux_gandscingulmidantlh"
"mrirsfd8","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI middle-posterior part of the cingulate gyrus and sulcus","","","rsfmri_var_cort.destrieux_g.and.s.cingul.mid.post.lh,rsfmri_var_cortdestrieux_gandscingulmidpostlh"
"mrirsfd9","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI posterior-dorsal part of the cingulate gyrus","","","rsfmri_var_cort.destrieux_g.cingul.post.dorsal.lh,rsfmri_var_cortdestrieux_gcingulpostdorsallh"
"mrirsfd10","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI posterior-ventral part of the cingulate gyrus","","","rsfmri_var_cort.destrieux_g.cingul.post.ventral.lh,rsfmri_var_cortdestrieux_gcingulpostventrallh"
"mrirsfd11","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI cuneus","","","rsfmri_var_cort.destrieux_g.cuneus.lh,rsfmri_var_cortdestrieux_gcuneuslh"
"mrirsfd12","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI opercular part of the inferior frontal gyrus","","","rsfmri_var_cort.destrieux_g.front.inf.opercular.lh,rsfmri_var_cortdestrieux_gfrontinfopercularlh"
"mrirsfd13","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus","","","rsfmri_var_cort.destrieux_g.front.inf.orbital.lh,rsfmri_var_cortdestrieux_gfrontinforbitallh"
"mrirsfd14","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI triangular part of the inferior frontal gyrus","","","rsfmri_var_cort.destrieux_g.front.inf.triangul.lh,rsfmri_var_cortdestrieux_gfrontinftriangullh"
"mrirsfd15","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI middle frontal gyrus","","","rsfmri_var_cort.destrieux_g.front.middle.lh,rsfmri_var_cortdestrieux_gfrontmiddlelh"
"mrirsfd16","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI superior frontal gyrus","","","rsfmri_var_cort.destrieux_g.front.sup.lh,rsfmri_var_cortdestrieux_gfrontsuplh"
"mrirsfd17","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula","","","rsfmri_var_cort.destrieux_g.ins.lg.and.s.cent.ins.lh,rsfmri_var_cortdestrieux_ginslgandscentinslh"
"mrirsfd18","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI short insular gyri","","","rsfmri_var_cort.destrieux_g.insular.short.lh,rsfmri_var_cortdestrieux_ginsularshortlh"
"mrirsfd19","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI middle occipital gyrus","","","rsfmri_var_cort.destrieux_g.occipital.middle.lh,rsfmri_var_cortdestrieux_goccipitalmiddlelh"
"mrirsfd20","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI superior occipital gyrus","","","rsfmri_var_cort.destrieux_g.occipital.sup.lh,rsfmri_var_cortdestrieux_goccipitalsuplh"
"mrirsfd21","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus","","","rsfmri_var_cort.destrieux_g.oc.temp.lat.fusifor.lh,rsfmri_var_cortdestrieux_goctemplatfusiforlh"
"mrirsfd22","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI lingual gyrus","","","rsfmri_var_cort.destrieux_g.oc.temp.med.lingual.lh,rsfmri_var_cortdestrieux_goctempmedlinguallh"
"mrirsfd23","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI parahippocampal gyrus","","","rsfmri_var_cort.destrieux_g.oc.temp.med.parahip.lh,rsfmri_var_cortdestrieux_goctempmedparahiplh"
"mrirsfd24","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI orbital gyri","","","rsfmri_var_cort.destrieux_g.orbital.lh,rsfmri_var_cortdestrieux_gorbitallh"
"mrirsfd25","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI angular gyrus","","","rsfmri_var_cort.destrieux_g.pariet.inf.angular.lh,rsfmri_var_cortdestrieux_gparietinfangularlh"
"mrirsfd26","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI supramarginal gyrus","","","rsfmri_var_cort.destrieux_g.pariet.inf.supramar.lh,rsfmri_var_cortdestrieux_gparietinfsupramarlh"
"mrirsfd27","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI superior parietal lobule","","","rsfmri_var_cort.destrieux_g.parietal.sup.lh,rsfmri_var_cortdestrieux_gparietalsuplh"
"mrirsfd28","Float","","Recommended","Temporal variance in left hemisphere cortical Destrieux ROI postcentral gyrus","","","rsfmri_var_cort.destrieux_g.postcentral.lh,rsfmri_var_cortdestrieux_gpostcentrallh"
