"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"mypi_alc","Integer","","Recommended","","Have you heard of drinks that contain alcohol, such as beer, wine or liquor, like rum, vodka, gin, whiskey, or tequila?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_full_drink","Integer","","Recommended"," mypi_alc   == '1'","Have you had a full drink containing alcohol at any time in the past 6 months, so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_sip","Integer","","Recommended"," mypi_alc_full_drink   == '0'","Have you had a sip of a drink containing alcohol at any time in the past 6 months, so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_ceremony_drink","Integer","","Recommended"," mypi_alc_full_drink   == '1'","Some people have alcohol as part of a religious ceremony such as in church or at a Seder dinner. Have you had a drink of alcohol that was NOT part of a religious service?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_sip_1b","Integer","","Recommended"," mypi_alc_sip   == '1'","Some people have alcohol as part of a religious ceremony such as in church or at a Seder dinner. Have you had a sip of alcohol that was NOT part of a religious service?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_drink_used","Integer","","Recommended"," mypi_alc_full_drink   == '1'","Did you have a full drink containing alcohol 5 or more times in the past 6 months, so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_sip_use","Integer","","Recommended"," mypi_alc_sip   == '1'","Did you have a sip of a drink containing alcohol 5 or more times in the past 6 months,  so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_drink_pst_mo","Integer","","Recommended"," mypi_alc_full_drink   == '1'","Did you have a full drink containing alcohol in the past month?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_sip_pst_mo","Integer","","Recommended"," mypi_alc_sip   == '1'","Did you have a sip of a drink containing alcohol in the past month?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_drink_lst_wk","Integer","","Recommended"," mypi_alc_drink_pst_mo   == '1'","Did you have a full drink containing alcohol in the last week?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_alc_sip_lst_wk","Integer","","Recommended"," mypi_alc_sip_pst_mo   == '1'","Did you have a sip of a drink containing alcohol in the last week?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_tob","Integer","","Recommended","","Have you heard of tobacco products, such as cigarettes, cigars, pipes, hookah, electronic or e-cigarettes?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_tob_used","Integer","","Recommended"," mypi_tob   == '1'","Have you smoked a full tobacco cigarette, cigar, or pipe, or had multiple puffs of hookah or an electronic cigarette at any time in the past 6 months, so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_tob_ceremony","Integer","","Recommended"," mypi_tob_used   == '1'","Some people smoke as part of a religious ceremony. Have you ever smoked a full tobacco cigarette, cigar, or pipe, or had multiple puffs of hookah or an electronic cigarette that was NOT part of a religious ceremony?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_tob_pst_6mo","Integer","","Recommended"," mypi_tob_used   == '1'","Did you smoke a full tobacco cigarette, cigar, or pipe, or have multiple puffs of hookah or an electronic cigarette 5 or more times in the past 6 months, so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_tob_pst_mo","Integer","","Recommended"," mypi_tob_used   == '1'","Did you smoke a full tobacco cigarette, cigar, or pipe, or have multiple puffs of hookah or an electronic cigarette in the past month?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_tob_lst_wk","Integer","","Recommended"," mypi_tob_pst_mo   == '1'","Did you smoke a full tobacco cigarette, cigar, or pipe, or have multiple puffs of hookah or an electronic cigarette in the last week?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_ecig","Integer","","Recommended"," mypi_tob_used   == '0'","Have you had a puff or vape from a tobacco cigarette, electronic nicotine or vaping product, such as e-cigarette, vape pens, or JUUL, hookah, cigar, or pipe in the past 6 months?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_ecig_nicotine_1","Integer","","Recommended"," mypi_ecig   == '1'","Some people smoke as part of a religious ceremony. Did you have a puff from a tobacco cigarette, cigar, pipe, hookah or electronic cigarette that was NOT part of a religious ceremony?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_ecig_pst_6mo","Integer","","Recommended"," mypi_ecig   == '1'","Did you have a puff from a tobacco cigarette, cigar, pipe, hookah or electronic cigarette 5 or more times in the past 6 months, so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_ecig_pst_mo","Integer","","Recommended"," mypi_ecig   == '1'","Did you have a puff from a tobacco cigarette, cigar, pipe, hookah or electronic cigarette in the past month?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_ecig_lst_wk","Integer","","Recommended"," mypi_ecig_pst_mo   == '1'","Did you have a puff from a tobacco cigarette, cigar, pipe, hookah or electronic cigarette in the last week?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_chew","Integer","","Recommended","","Have you heard of smokeless tobacco, chew, or snus?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_chew_pst_used","Integer","","Recommended"," mypi_chew   == '1'","Have you used smokeless tobacco, chew, or snus at any time in the past 6 months, so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_chew_pst_6mo","Integer","","Recommended"," mypi_chew_pst_used   == '1'","Did you use smokeless tobacco, chew, or snus 5 or more times in the past 6 months, so from last (name of month 6 months ago) until today?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_chew_pst_mo","Integer","","Recommended"," mypi_chew_pst_used   == '1'","Did you use smokeless tobacco, chew, or snus in the past month?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
"mypi_chew_lst_wk","Integer","","Recommended"," mypi_chew_pst_mo   == '1'","Did you use smokeless tobacco, chew, or snus in the last week?","0;1;777","1 = yes ; 0 = no ; 777 = refuse to answer",""
