"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"ascq_section_q01","Integer","","Recommended","Cigarettes help with concentration.","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always; 0 = Uncertain / tlfb_tob_c_l   == '1' ||  tlfb_tob_l   == '1'","su_ascq_q01"
"ascq_section_q02","Integer","","Recommended","When someone is sad, smoking helps them feel better.","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always; 0 = Uncertain / tlfb_tob_c_l   == '1' ||  tlfb_tob_l   == '1'","su_ascq_q02"
"ascq_section_q03","Integer","","Recommended","The look and feel of a cigarette in the mouth is good.","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always; 0 = Uncertain / tlfb_tob_c_l   == '1' ||  tlfb_tob_l   == '1'","su_ascq_q03"
"ascq_section_q04","Integer","","Recommended","Parties are more enjoyable when a person is smoking.","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always; 0 = Uncertain / tlfb_tob_c_l   == '1' ||  tlfb_tob_l   == '1'","su_ascq_q04"
"ascq_section_q05","Integer","","Recommended","Smoking will make a person cough.","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always; 0 = Uncertain / tlfb_tob_c_l   == '1' ||  tlfb_tob_l   == '1'","su_ascq_q05"
"ascq_section_q06","Integer","","Recommended","Smoking makes people look ridiculous or silly.","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always; 0 = Uncertain / tlfb_tob_c_l   == '1' ||  tlfb_tob_l   == '1'","su_ascq_q06"
"res_tobacco_q01_l","Integer","","Recommended","While smoking your very first cigarette, did you have pleasurable sensations (did you feel a pleasurable buzz or rush; relaxed, dizzy)?","1 ; 2 ; 3 ; 4","1 = None1; 2 = 2; 3 = 3; 4 = Intense4 / tlfb_cig_use_l  == '1' &&  tlfb_cig_use_c_l   == 0","su_subj_resp_nic_q01_l"
"res_tobacco_q02_l","Integer","","Recommended","While smoking your very first cigarette, did you have unpleasant sensations (did you feel nausea, did you cough)?","1 ; 2 ; 3 ; 4","1 = None1; 2 = 2; 3 = 3; 4 = Intense4 / tlfb_cig_use_l  == '1' &&  tlfb_cig_use_c_l   == 0","su_subj_resp_nic_q02_l"
"res_tobacco_q08_l","Integer","","Recommended","Were you alone the first time you experimented with cigarettes?","1 ; 2","1 = Yes; 2 = No / tlfb_cig_use_l  == '1' &&  tlfb_cig_use_c_l   == 0","su_subj_resp_nic_q03_l"
"res_tobacco_q09_l","Integer","","Recommended","While using your very first e-cigarette or e-hookah, did you have pleasurable sensations (did you feel a pleasurable buzz or rush, relaxed, dizzy)?","1 ; 2 ; 3 ; 4","1 = None1; 2 = 2; 3 = 3; 4 = Intense4 / tlfb_ecig_use_l  == '1' ||  tlfb_hookah_use_l  == '1'  &&  tlfb_ecig_use_c_l  == '0' &&  tlfb_hookah_use_c_l  == '0'","su_subj_resp_nic_q04_l"
"res_tobacco_q10_l","Integer","","Recommended","While using your very first e-cigarette or e-hookah, did you have unpleasant sensations (did you feel nausea, did you cough)?","1 ; 2 ; 3 ; 4","1 = None1; 2 = 2; 3 = 3; 4 = Intense4 / tlfb_ecig_use_l  == '1' ||  tlfb_hookah_use_l  == '1'  &&  tlfb_ecig_use_c_l  == '0' &&  tlfb_hookah_use_c_l  == '0'","su_subj_resp_nic_q05_l"
"res_tobacco_q16_l","Integer","","Recommended","Were you alone the first time you experimented with an e-cigarette or e-hookah?","1 ; 2","1 = Yes; 2 = No / tlfb_ecig_use_l  == '1' ||  tlfb_hookah_use_l  == '1'  &&  tlfb_ecig_use_c_l  == '0' &&  tlfb_hookah_use_c_l  == '0'","su_subj_resp_nic_q06_l"
"res_tobacco_q17_l","Integer","","Recommended","While using your very first smokeless tobacco such as snus or chew, did you have pleasurable sensations (did you feel a pleasurable buzz or rush, relaxed, dizzy)?","1 ; 2 ; 3 ; 4","1 = None1; 2 = 2; 3 = 3; 4 = Intense4 / tlfb_chew_use_l  == '1' &&  tlfb_chew_use_c_l  == '0'","su_subj_resp_nic_q07_l"
"res_tobacco_q18_l","Integer","","Recommended","While using your very first smokeless tobacco such as snus or chew, did you have unpleasant sensations (did you feel nausea, did you cough)?","1 ; 2 ; 3 ; 4","1 = None1; 2 = 2; 3 = 3; 4 = Intense4 / tlfb_chew_use_l  == '1' &&  tlfb_chew_use_c_l  == '0'","su_subj_resp_nic_q08_l"
"res_tobacco_q24_l","Integer","","Recommended","Were you alone the first time you experimented with smokeless tobacco such as snus or chew?","1 ; 2","1 = Yes; 2 = No / tlfb_chew_use_l  == '1' &&  tlfb_chew_use_c_l  == '0'","su_subj_resp_nic_q09_l"
"path_nic_dep_q01_l","Integer","","Recommended","How soon after you wake up do you want to use tobacco?","1 ; 2 ; 3 ; 4 ; 5","1 = Within 5 minutes; 2 = From 6 to 30 minutes; 3 = From more than 30 minutes to 1 hour; 4 = After more than 1 hour but less than 24 hours; 5 = I rarely want to use tobacco / xskipout_tob_l   == '1'","su_path_nic_dep_q01_l"
"path_nic_dep_q02_l","Integer","","Recommended","Do you ever have strong craving to use tobacco?","1 ; 0","1 = Yes; 0 = No / xskipout_tob_l   == '1'","su_path_nic_dep_q02_l"
"path_nic_dep_q03_l","Integer","","Recommended","Have you ever felt like you really needed to use tobacco?","1 ; 0","1 = Yes; 0 = No / xskipout_tob_l   == '1'","su_path_nic_dep_q03_l"
"path_nic_dep_q04_l","Integer","","Recommended","I find myself reaching for a tobacco product without thinking about it.","1 ; 2 ; 3 ; 4 ; 5","1 = Not true of me at all1; 2 = 2; 3 = 3; 4 = 4; 5 = Extremely true of me5 / xskipout_tob_l   == '1'","su_path_nic_dep_q04_l"
"path_nic_dep_q05_l","Integer","","Recommended","I frequently crave tobacco.","1 ; 2 ; 3 ; 4 ; 5","1 = Not true of me at all1; 2 = 2; 3 = 3; 4 = 4; 5 = Extremely true of me5 / xskipout_tob_l   == '1'","su_path_nic_dep_q05_l"
