"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"socialdev_cpb_01","Integer","","Recommended","My friends work hard to get good grades in school.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_02","Integer","","Recommended","My friends break the rules.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_03","Integer","","Recommended","My friends are popular with other kids.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_04","Integer","","Recommended","My friends drink alcohol and beer.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_05","Integer","","Recommended","My friends are very smart.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_06","Integer","","Recommended","My friends get into trouble with the police.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_07","Integer","","Recommended","My friends are good at sports.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_08","Integer","","Recommended","My friends smoke cigarettes or chew tobacco.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_09","Integer","","Recommended","My friends do their homework and study a lot.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_10","Integer","","Recommended","My friends steal things from others.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_11","Integer","","Recommended","My friends use drugs.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_12","Integer","","Recommended","My friends get good grades in school.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_13","Integer","","Recommended","My friends get into fights with other kids.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_14","Integer","","Recommended","Other kids look up to (respect) my friends.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_15","Integer","","Recommended","My friends know where to buy drugs.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_16","Integer","","Recommended","My friends are liked by their teachers.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
"socialdev_cpb_17","Integer","","Recommended","My friends get into trouble a lot at school.","0::3","3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends",""
