"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"dmdtifp1_1","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right fornix","","","dmri_dti.full.fa_fiber.at_fx.rh,dmri_dtifullfa_fiberat_fxrh"
"dmdtifp1_2","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left fornix","","","dmri_dti.full.fa_fiber.at_fx.lh,dmri_dtifullfa_fiberat_fxlh"
"dmdtifp1_3","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right cingulate cingulum","","","dmri_dti.full.fa_fiber.at_cgc.rh,dmri_dtifullfa_fiberat_cgcrh"
"dmdtifp1_4","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left cingulate cingulum","","","dmri_dti.full.fa_fiber.at_cgc.lh,dmri_dtifullfa_fiberat_cgclh"
"dmdtifp1_5","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right parahippocampal cingulum","","","dmri_dti.full.fa_fiber.at_cgh.rh,dmri_dtifullfa_fiberat_cghrh"
"dmdtifp1_6","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left parahippocampal cingulum","","","dmri_dti.full.fa_fiber.at_cgh.lh,dmri_dtifullfa_fiberat_cghlh"
"dmdtifp1_7","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right corticospinal/pyramidal","","","dmri_dti.full.fa_fiber.at_cst.rh,dmri_dtifullfa_fiberat_cstrh"
"dmdtifp1_8","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left corticospinal/pyramidal","","","dmri_dti.full.fa_fiber.at_cst.lh,dmri_dtifullfa_fiberat_cstlh"
"dmdtifp1_9","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right anterior thalamic radiations","","","dmri_dti.full.fa_fiber.at_atr.rh,dmri_dtifullfa_fiberat_atrrh"
"dmdtifp1_10","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left anterior thalamic radiations","","","dmri_dti.full.fa_fiber.at_atr.lh,dmri_dtifullfa_fiberat_atrlh"
"dmdtifp1_11","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right uncinate","","","dmri_dti.full.fa_fiber.at_unc.rh,dmri_dtifullfa_fiberat_uncrh"
"dmdtifp1_12","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left uncinate","","","dmri_dti.full.fa_fiber.at_unc.lh,dmri_dtifullfa_fiberat_unclh"
"dmdtifp1_13","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right inferior longitudinal fasiculus","","","dmri_dti.full.fa_fiber.at_ilf.rh,dmri_dtifullfa_fiberat_ilfrh"
"dmdtifp1_14","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left inferior longitudinal fasiculus","","","dmri_dti.full.fa_fiber.at_ilf.lh,dmri_dtifullfa_fiberat_ilflh"
"dmdtifp1_15","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right inferior-fronto-occipital fasiculus","","","dmri_dti.full.fa_fiber.at_ifo.rh,dmri_dtifullfa_fiberat_iforh"
"dmdtifp1_16","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left inferior-fronto-occipital fasiculus","","","dmri_dti.full.fa_fiber.at_ifo.lh,dmri_dtifullfa_fiberat_ifolh"
"dmdtifp1_17","Float","","Recommended","Average fractional anisotropy within DTI atlas tract foreceps major","","","dmri_dti.full.fa_fiber.at_fmaj,dmri_dtifullfa_fiberat_fmaj"
"dmdtifp1_18","Float","","Recommended","Average fractional anisotropy within DTI atlas tract foreceps minor","","","dmri_dti.full.fa_fiber.at_fmin,dmri_dtifullfa_fiberat_fmin"
"dmdtifp1_19","Float","","Recommended","Average fractional anisotropy within DTI atlas tract corpus callosum","","","dmri_dti.full.fa_fiber.at_cc,dmri_dtifullfa_fiberat_cc"
"dmdtifp1_20","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right superior longitudinal fasiculus","","","dmri_dti.full.fa_fiber.at_slf.rh,dmri_dtifullfa_fiberat_slfrh"
"dmdtifp1_21","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left superior longitudinal fasiculus","","","dmri_dti.full.fa_fiber.at_slf.lh,dmri_dtifullfa_fiberat_slflh"
"dmdtifp1_22","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right temporal superior longitudinal fasiculus","","","dmri_dti.full.fa_fiber.at_tslf.rh,dmri_dtifullfa_fiberat_tslfrh"
"dmdtifp1_23","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left temporal superior longitudinal fasiculus","","","dmri_dti.full.fa_fiber.at_tslf.lh,dmri_dtifullfa_fiberat_tslflh"
"dmdtifp1_24","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right parietal superior longitudinal fasiculus","","","dmri_dti.full.fa_fiber.at_pslf.rh,dmri_dtifullfa_fiberat_pslfrh"
"dmdtifp1_25","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left parietal superior longitudinal fasiculus","","","dmri_dti.full.fa_fiber.at_pslf.lh,dmri_dtifullfa_fiberat_pslflh"
"dmdtifp1_26","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right superior corticostriate","","","dmri_dti.full.fa_fiber.at_scs.rh,dmri_dtifullfa_fiberat_scsrh"
"dmdtifp1_27","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left superior corticostriate","","","dmri_dti.full.fa_fiber.at_scs.lh,dmri_dtifullfa_fiberat_scslh"
"dmdtifp1_28","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right superior corticostriate-frontal cortex only","","","dmri_dti.full.fa_fiber.at_fscs.rh,dmri_dtifullfa_fiberat_fscsrh"
"dmdtifp1_29","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left superior corticostriate-frontal cortex only","","","dmri_dti.full.fa_fiber.at_fscs.lh,dmri_dtifullfa_fiberat_fscslh"
"dmdtifp1_30","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right superior corticostriate-parietal cortex only","","","dmri_dti.full.fa_fiber.at_pscs.rh,dmri_dtifullfa_fiberat_pscsrh"
"dmdtifp1_31","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left superior corticostriate-parietal cortex only","","","dmri_dti.full.fa_fiber.at_pscs.lh,dmri_dtifullfa_fiberat_pscslh"
"dmdtifp1_32","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right striatal inferior frontal cortex","","","dmri_dti.full.fa_fiber.at_sifc.rh,dmri_dtifullfa_fiberat_sifcrh"
